ENGLISH ; RUSSIAN
a full code ; Полный объем реанимационных мероприятий
ressasitative effort ; Реанимационные мероприятия
full code ; Полный объем реанимационных мероприятий
cultural, spiritual and religious i need  ; культурные, духовные и религиозные обычаи а которых мне нужно знать
lay flat ; ложитель горизонтально
bowel clean out ; очищение кишечника
NG tube ; назогастральный зонд 
enema ; клизма
suppositories ; свечи
deficit of hearing ; нарушение слуха
to yawn ; зевать
to boost you in the bed ; подтянуть в кровати
feet ; ступни
you are all set ; мы закончили, на этом всё
G tube (Gastrostomy tube) ; Гастростомическая трубка






a bypass ; шунтирование
complications ; осложнения
he skinned his knee ; он сдёр коленку
crawling on all fours ; ползал на четвереньках
keep bumping into everything ; стукаюсь по всюду
collarbone ; ключица
соображать нормально ; to think clearly
голень ; shin
щиколодка ; ankle
compression stockings ; компрессионные чулки
radio frequency ablation ; радиочастотная абляция
they numb the skin around this area ; кожу вокруг этого региона обезболивают
vascular surgeon ; сосудистый хирург
kyphosis ; кифоз
if the dressing gets saturated ; Если повязка пропиталась
septal deformity ; Искривление носовой перегородки
internal rotation ; внутреннее вращение
allignment of the legs ; положение ног
curvature in the spine ; искривление позвоночника
core strengthening exercises ; упражнение для укрепления мышц пресса
roundness over here ; выпуклость здесь
orthopedist ; ортопед
more space ; больше пространства
pancreatic lesions ; Поражения поджелудочной железы
pancreatic cancer ; Рак поджелудочной железы
a setting ; обстановка
to squeeze eyelids ; зажмуриться
to pull an eyelash ; выдернуть ресницу
pupil ; зрачки
hemorrhage ; Кровоизлияние
пропадало зрение ; vision was failing
xray tecnician ; Рентгенолаборант
sinus infection ; гайморит, воспаление пазух
tenderness ; болезненность, чувствительность (при пальпацие)
metal plates, pins and rods ; металические пластины, спицы и стержни
scrub nurse ; Операционная медсестра
much more common ; гораздо более распространенный
larengial mask (anasthesia) ; Ларингеальная маска
convergence and divergence ; схождение и расхождение
skin tear ; разрыв кожи

preschool ; садик
velcro ; липучка
porkupine ; дикобраз
strangers ; посторонние люди
more advanced ; более продвинутый
парила ногу ; steamed my foot
colon surgeon ; 
proctologist ; проктоог
epsom salt ; английская соль
to do soaking ; делать замачивания
refined carbohydrates ; 
saturated fats ; насыщенные жиры
animal products ; продукты животного произхождения
ldl cholesterol (ЛПНП) ; липопротеины низкой плотности
range of motion ; диапазон движения, подвижность суставов
COPD chronic pulmonary lung disease ; Хроническая обструктивная болезнь легких (ХОБЛ)
can you roll up your sleeve ; можете поднять рукав
earwax ; ушная сера
прободная язва ; perforated ulcer
to take on everything ; за всё браться
a marker of muscle breakdown (test) ; Показатель разрушения мышц
to do stretching ; делать расстяжку
растворимый кофе ; instant coffee

cement (bone) ; костынй цемент
kyphoplasty ; кифопластика
muttiple fractures in the spine ; множенственные переломы позвоночника
nice and tight ; плотно прилегает
a brace ; карсет
conservative treatment ; консервативное лечение
chiropractic treatment ; лечение у хиропарктора
трещина в позвонке ; vertebral fracture
an underlying problem ; первопричина или основное заболевание
crooked ; искривлённый
most preventable ; наиболее предотвратимый
undiognized ; невыявленный
lentils ; чечевица
digestive system ; пищеварительная система
to strain ; напрягаться
a colon surgeon ; хирург проктолог
high quality life ; Высокое качество жизни
tumor ; опухоль
To produce excessive hormone ; Производить избыточное количество гормона
PTH hormone ; Паратиреоидный гормон
the join can bend backwards a bit ; сустав немного выгибается назад
a splint or sling ; шина или поддерживающая повязка
to torn the ligaments ; порвать связки
отсидела ногу ; my leg fell asleep
cervical lymph node ; Шейный лимфатический узел
noid sinus ; Клиновидная или основная пазуха
nothing discrete ; Никаких четких образований
глотка ; Pharynx
уплотнение на шее ; Lump in the neck
nonspecific binding ; Неспецифическое накопление
salivary gland ; слюнная железа
nonspecific binding around the left salivary gland ; Неспецифическое накопление в области левой слюнной железы
confuse ; спутанность сознания
a brace on the arm ; фиксатор руки
canned foods ; консервированные продукты


синдром белого халата ; white coat syndrome
it will be a bit tight (BP cuff) ; манжета будет немного давить
need to withdraw money ; нужно снять деньги
mental health hospital ; психиатрическая больница
extra fluid ; избыточная жидкость
to get extra fluid out ; вывести избыточную жидкость
a good relief ; хорошее облегчение
muscle seized up ; сводят мышцы
anti-inflamatory ; противовосполительный
ремиссия ; remission
lean back ; откинуться назад
did airbags deploy ; Сработали ли подушки безопасности
chaplain ; священник
chaperone ; мед сопровождающий



фтизиатр ; tb specialist
intramuscularly ; внутримышечно
subcutaneously ; внутрикожно
cereal ; хлопья, злаки
whole cow's milk ; цельное коровье молоко
baby formula ; детское питание, смесь
Meningococcal vaccine ; Менингококковая вакцина
lead ; свинец
red patches on the skin ; покраснения
children outgrow it ; у детей проходит с возрастом
polen ; пыльца
anything can cause it ; это может быть вызвано чем угодно
it is very common ; это очень распространенно
eczema ; дерматит или экзема
a lesion ; поражение
to loosen a gown ; ослабить или расстянуть халат
a slurred speech ; заикание
to draw blood ; сдать кровь
a blood draw ; сдача крови
укачивает в машине ; a motion sickness in the car
an exercise class ; групповое занятие фитнесом
6 позвонков ; 6 vertebrae
discrete ; чёткий
to feel fatigued ; утомлённым
restlessness or agitation ; беспокойство или ажитация
rotavirus ; ротавирус
to gasp air ; тяжело вздыхать, ловить воздух ртом
сопеть ; snuffle
snoring concerns ; проблемы с храпом
a rotator cuff ; вращающая манжета плеча
бывший спортсмен ; former athlete
reverse shoulder replacement ; Реверсивное эндопротезирование плечевого сустава
teraing of rotator cuff ; разрыв вращательной манжеты плеча
rotator cuff repair ; Восстановление вращательной манжеты плеча
JP drain ; активный вакуумный дренаж Джексона–Пратта
loose stool ; жидкий стул
culture ; посев
persisting vomiting ; Непрекращающаяся рвота
Right lower quadrum ; Правый нижний квадрант
i wanna be extra safe ; Принимать дополнительные меры безопасности
frustrated ; разочарован, раздражён
consistent ; Стабильный
empathy ; сочувствие
tea pot ; заварочный чайник
arm bone ; плеевоая кость
hardware loosening ; 
protoplasm ; 
head of arm bone ; 
foreign body ; 
straps ; ремни


meninges ; мозговые оболочки
dyspnea ; затруднённое дыхание
laparoscopy (procedure to visualize abdominal cavity) ; лапороскопия
to get gallbladder laparoscopically ; чтоб удалить желчиный пузырь путём лапороскопии
cholecystectomy, gallbladder removal ; удаление желчного пузыря
caught a cold ; подхватил простуду
just a common cold ; просто обычная простуда
sinus inflammation ; синусит, Воспаление придаточных пазух носа
sinus infection ; Гаймори,Инфекция придаточных пазух носа
eardrums ; барабанные перепонки
sense of taste ; Чувство вкуса
sense of smell ; Чувство запаха
removable dentures ; вставные зыбные протезы
a scope ; зонд
Седация с сохранением сознания ; conscious sedation  
bowel recection ; Операция по удалению части кишечника
a port ot draw blood ; Порт-система для забора крови
to access the port  ; Пункция порт-системы
sigmoidoscopy ; Сигмоидоскопия
Bottom ; попа
housekkeping ; Хозяйственная служба (больницы)
a rise ; побъем
colorectal cancer ; Рак толстой и прямой кишки



joint Contractures ; контракуты
metabolic screening ; Обследование на нарушения обмена веществ
вертикализация
transfer of care ; Передача медицинского обслуживания
to check in and check out the patients ; Регистрировать прием и выезд пациентов
bedpan or urinal ; сдуно, утка
a commode ; прикроватный туалет
epipen ; шприц ручка с эпинефрином
to sit up ; сядьте ровно 
the chest wall ; стенка грудной клетки
motor centers ; Двигательные центры
an extra break ; Дополнительный перерыв
off the top of my head ; Навскидку, по памяти
to tighten the muslce ; Напрячь мышцу
paired muscle relaxion ; Синхронное расслабление мышц
Continuous bladder irrigation ; Продолжительное промывание мочевого пузыря
religios believs ; религиозные убеждения
Heparin shot ; укол гепарина
ringing sound in the ears ; звон в ушах 
to deal with ; иметь дело с, справляться с

Religious beliefs ; Религиозные убеждения
Zio Patch ; Одноразовый регистратор ЭКГ
breast concerns ; жалобы на состояние молочных желез
nipple ; сосок
nipple tissue ; ткань соска
mistitis ; мастит
cold cleaner ; антисептическое средство
грабли ; rake
have ranged from ; Варьировались от,Колебались в пределах
coping skills ; навыки совладания
laxative (colace is med name) ; слабительное средство
yearly routine exam ; ежегодный плановый осмотр
restarted medicine ; возобновление приема препарата


-------------
a room for error ; запас прочности, возможность ошибки, право на ошибку
indispensable ; незаменимый
incentive ; стимул, поощрение
to be susceptible to ; быть восприимчивым к, быть склонным к
PCA patient care assistant ; ассистент по уходу за пациентами, помощник по уходу
at my disposal ; в моем распоряжении
to twitch ; подергиваться, дергаться




-------------
TOPIC:EYE
-------------
stye ; ячмень
a pore ; пора
oil glands (eyelid) ; Мейбомиевы железы (сальные)
retina ; сетчатка
cornea ; роговица
iris ; радужка
pupil ; зрачок
lens ; хрусталик
eyelid ; веко
vitreous humor ; стекловидная жидкость
choroid ; хориоидея
ciliary body ; ресничное тело
optic nerve ; зрительный нерв
lower eyelid ; нижнее веко
upper eyelid ; верхнее веко
sclera ; склера
conjunctiva ; конъюнктива
macula ; макула, жёлтое пятно
vitreous body ; стекловидное тело
tear film ; слёзная плёнка
tear duct ; слёзный канал
visual acuity ; острота зрения
intraocular pressure ; внутриглазное давление
astigmatism ; астигматизм
refraction ; рефракция
hyperopia ; гиперметропия, дальнозоркость
myopia ; миопия, близорукость
glaucoma ; глаукома
cataract ; катаракта
dry eye syndrome ; синдром сухого глаза
retinal detachment ; отслойка сетчатки
slit-lamp examination ; осмотр в щелевой лампе
fundus examination ; осмотр глазного дна
visual field test ; периметрия
tonometry ; тонометрия
field of vision ; поле зрения
contact lenses ; контактные линзы
eye drops ; глазные капли
LASIK surgery ; LASIK, лазерная коррекция зрения
eyeglasses ; очки
optic disc ; диск зрительного нерва
retinal hemorrhage ; кровоизлияние в сетчатку
conjunctivitis ; конъюнктивит
floaters ; плавающие помутнения
chalazion ; халязион
blepharitis ; блефарит
corneal ulcer ; язва роговицы
stye ; ячмень
pupil dilation ; расширение зрачка
fluorescein staining ; окрашивание флуоресцеином
vitreous detachment ; отслойка стекловидного тела
ocular motility ; подвижность глаз
flashing lights ; вспышки света в глазах
floaters ; ушки перед глазами, плавающие помутнения
диоптрия ; diopter
оправа ; eyeglass frame
cloudy lense ; помутнение хрусталика (пример объяснение катаракты)
близорукость ; short-sightedness, myopia, nearsightedness
двоится ; double vision
bifocal lense ; бифокальная линза очков
oil glands ; сальные железы (Мейбомиевы железы в контексте век)
tinted lenses ; затемнённые стёкла очков
eye patch ; глазная повязка

-------------

-------------
FOOD
-------------
cream of wheat ; манная каша
outmeal ; овсянка
turkey sausage ; сосиска из индейки
french toast ; гренки
gravy ; подливка
pancakes ; блины
cranberry juice ; клюквенный сок
chicken noodle soup ; куриный суп лапша
-------------






patterns ; закономерности
ALS amyotrophic lateral sclerosis ; БАС боковой амиотрофический склероз
occasionally ; изредка
IV band ; жгут
clitoris glans ; головка клитора
resident doctor ; врач стажер
intake nurse ; Медсестра приемного отделения
We will treat alcohol withdrawal symptoms ; Мы будем лечить симптомы алкогольной абстиненции
laugning gas ; веселящий газ
do you have any loose or missing teeth ; Есть ли у вас шатающиеся или отсутствующие зубы
tonsillectomy ; удаление гланд
adenoidectomy ; удаление аденоидов
синдром белого халата ; white coat syndrome
it will be a bit tight (BP cuff) ; манжета будет немного давить
a good relief ; хорошее облегчение
did airbags deploy ; Сработали ли подушки безопасности
ICU ; отделение интенсивной терапии
tracheostomy ; трахеостомия
vocal cords ; голосовые связки
very disspointment ; очень разочаровывающе
this afternoon ; днем, во второй половине дня
liver enzyme ; ферменты печени
liver enzymes level ; показатели ферментов печени
eyebrow ; бровь
hitting 2 birds with 1 stone ; убить 2х зайцев одним выстрелом
a shake (drink) ; коктейль



wekaness:
healthcare proxy ; письменная мед доверенность, лицо с доверенностью представлять интересы больного
oversedated ; Передозировка седативными средствами
esophagitis ; эсофагит, воспаление пищевода
salpingitis ; сальпингит, воспаление маточных труб
Relatives ; родные
colostrum ; молозиво
tearing in the eyes ; слезотечение, повышенное слезоотделение
a chemistry panel ; Биохимический анализ крови
a volume overload ; Перегрузка объемом
medical patches ; медицинские пластыри
nutrients ; Питательные вещества
home care services ; Медицинская помощь на дому
transvaginal syntetic urethral sling placement ; Установка трансвагинальной синтетической уретральной петли
emergency contant ; Контакт на случай чрезвычайной ситуации
высмаркиваться ; To blow one's nose
upper respiratory infections ; Инфекции верхних дыхательных путей
3я стадия непроходимости ; Stage 3 obstruction
ХГЧ (Хорионический гонадотропин человека) ; human chorionic gonadotropin, hCG
экстракорпоральное оплодотворение ; in vitro fertilization, IVF
vaginectomy ; удаление влагалища
repair of perinium ; восстановление промежности
cystoscopy ; цистоскопия
маточные трубы ; fallopian tubes
underlying issue ; основная проблема

resistant bacteria ; Устойчивые бактерии
it doesnt make u sick ; безвредно, не вызывает заболевания
a pole ; столб
to wrap the foot ; завернуть ногу, забинтовать ногу
won't it cause a blister ; это не вызовет мозоль
contribution ; вклад
a stand ; подставка
a leg rest ; подставка для ног
to guide the foot ; направлять ногу
turn the foot outward ; повернуть ногу наружу
She is traveling ; Она находится в пути
inwards ; внутрь
outwards ; наружу

primary team ; Основная лечащая группа
IV fluid ; Жидкость для внутривенного введения
зять ; son-in-law
невестка ; daughter-in-law
salt shaker ; солонка
A seasoning ; Приправа
More recent ; недавний

pancreas ; поджелудочная железа
надпочечники ; adrenal glands
gallbladder ; желчный пузырь
bile duct ; желчный проток
pancreatic lesions ; Поражения поджелудочной железы
pancreatitis ; панкреатит, воспаление поджелудочной железы




thyrotropin ; тиротропин
thyroid stimulating hormone ; тиреотропный гормон, гармон стимулирующий щитовидную железу
hypothyroidism ; гипотиреоз
hyperthyroidism ; гипертиреоз
психотропные препараты ; psycho meds
feel suicidal or homicidal now ; чувствуешь себя сейчас склонным к суициду или убийству?
blood draw ; забор или взятие крови


heridetary disease ; наследственное заболевание
genetic disorder ; генетическое заболевание
aortic valve ; аортальный клапан
rods ; стержни
gut feeling ; предчувствие
предостеречь себя сделав это обследование ; to preempt yourself by doing this test
spine collapses ; Позвоночник со временем проседает
genetic testing ; генетическое обследование
hysterectomy ; гистерэктомия, удаление матки
ancestory ; происхождение, родословная
лучевая терапия ; radiation therapy
distant relative ; дальний родственник
broad testing ; комлексное обследование, расширенное обследование
беженец ; refugee
employment ; трудоустройство
life insurance ; страхование жизни
billing process consent ; согласие на процесс выставления счетов
genetic health consultation ; генетическая консультация
a shortcut ; обходной путь, короткий путь
stocking ; чулок
проводить эксперимент ; to conduct an experiment
garment ; копрессионное изделие

lower extremity lymphedema ; лимфедема нижних конечностей
lymphedema ; лимфедема, лимфатический отёк
a study ; исследование
swallow study ; исследование актов глотания
a counter ; стойка
reassuring thing ; обнадеживающая вещь
voice box ; гортань
Hows your eating and drinking ; Как у вас обстоят дела с приемом пищи или жидкости
esophagus ; пищевод
windpipe ; трахея
a swallow ; глоток
среднее образование (школьное) ; secondary education
suction catheter ; отсасывающий катетер
radial arthery ; лучевая артерия
to line to stomach ; Обволакивать желудок, создавать защитный слой в желудке
abdominal binder ; брюшной бандаж
Orthostatic Hypertension ; Ортостатическая гипертония
good to go ; всё в порядке
Затяжная или нелеченая ; delayed or untreated
intake ; приём
пополнение в семье ; addition to the family








umbilical cord ; пуповина
umbilical stump ; пуповинный остаток
umbilical area ; область пупка
belly button/navel ; пупок



sponge bath ; обтирание губкой
a crib ; кроватка
delivery ; роды
Intestine ; кишечник
административный персонал ; clerical staff
healthcare concent ; согласие на медицинское обслуживание
pickup patient area ; зона ожидания/посадки пациентов
take it easy ; полегче, не перенапрягайтесь
stamina ; выносливость
не годиться ; not good enough
saline ; соляной раствор
imaging agent ; контрастное вещество
nuclear medicine department ; отделение ядерной медицины
i will give you pricvacy ; я не буду вам мешать



a picky eater ; избирательный в еде
we will help you get situated ; Мы поможем вам разместиться
a work note ; больничная справка
skilled nursing facility ; Учреждение квалифицированного сестринского ухода
shower chair ; стул для душа
chores (general ) ; домашние дела
shower ; душ
barefoot ; босяком

the colon got twisted ; заворот кишки
sigmoid colon ; сигмовидная кишка
colon ; толстая кшика
benefits outweight the risk ; Польза превышает риск
to push at wheelchair ; катать на коляске
they will come to pick you up from the hospital ; они заберут вас с больницы
a tight band ; тугая повязка
outcomes ; Исходы
качает ; Swaying
крестец ; sacrum, sacral bone
wraps ; повязок
кристалики сыпться ; the crystals are shedding
pillow case ; Наволочка
фартук ; apron



the flow of echmo ; объёмная скорость кровотока на ЭКМО
осваивание шунта
blood supplies the lungs ; лёгочное кровоснабжение
off sedation ; вывод из седации
a written form ; письменный вариант
a birth certificate ; свидетельство о рождение



-------------------
TOPIC:BONE
-------------------
сухожилие ; tendon
связки ; ligaments
arm bone, humerus ; плечевая кость
ulna ; локтевая кость
radius ; лучевая кость
deltoid muslces ; делтавидные мышцы
shoulder blade ; лопатка
scapula ; лопатка
dislocation ; вывих
bone's ball and socket positioning ; расположение головки и впадины кости
bone allignment ; расположение кости
bone healing ; срастание кости
bone healed incorrectly ; кость неправильно сраслась
arm pit area ; подмышечная впадина
irrigation of the joint ; промывание сустава
debridement of the shoulder ; хирургическая обработка плечевого сустава
hardware loosening ; Рассшатывание компонентов, конструкции
protoplasm ; живое вещество клетки
приживаться к телу ; biocompatability, integration of the material into the body
head of the arm bone ; головка плечевой кости
инородное тело ; foreign body
non displace fracture ; перелом без смещения
shoulder socket ; плечевая впадина
muscle retracts ; мышца сокращается
-----------------


швы ; stiches
dont need a revision ; не нужна повторная операция
25 years shelf life ; 25 лет срока годности
polyethaline ; полиэтилен
it will last a life ; это прослужит всё жизнь
future outlook ; перспектива на будущее
to manifest ; проявляться
to abort a surgery ; прерывать операцию
to recover and heal ; востанавливаться и идти на поправку
fruitful ; плодотворный





==================
TOPIC:PT
==================
railings ; перила
Straps ; ремни
Frustration ; чувство безысходности
опора ; support
to lean on ; опараться на
contraption ; приспособление
to crawl ; ползти
on all fours ; на четвереньках
to roll over ; кувыркаться
to sit up ; сесть 
to take steps ; делать шаги
to toddle ; топать
to fall ; падать
to climb ; забираться
to reach ; тянуться
to grab ; схватывать
to lift ; поднимать
to bend ; сгибать, наклоняться
to bend forward or backward ; наклоняться вперед или назад
to bend down ; наклоняться вниз
to bend at the waist ; наклопяться в поясницы
to stretch ; растягиваться
to balance ; удерживать равновесие
to point ; указывать пальцем
to pinch ; ущепнуть, щипать
to be cranky ; вредничать
to fuss ; капризничать
to soothe vs to calm down ; успокаивать и успокаиваться
to tense up ; напрягаться
at their own pace ; в своём темпе
приседать ; to squad
lean back ; откинуться назад
lean on ; прислониться к (на)
squueeze, and release ; Сжать и отпустить
muscle fatique ; мышечная усталость
it will fatique your muscles ; приведет к мышечной усталости
motor control ; двигательный контроль
bring your knees out and in ; разведите колени в сторону а потом сведите вместе
shin ; голень
endurance ; выносливость
dont overdo ; не перенапрягайтесь
tiring exercise ; утомительное упражнение
пандус для инвалидной коляски ; wheelchair ramp
walk-in shower ; душевая кабина без поддона
step-over tub to shower ; ванна с душем через бортик которой нужно перешагивать
raised toiled seat ; приподнятое сиденье для унитаза
higher toilet ; приподнятый унитаз
Bidete ; Биде
dietition, nutritionist ; специалист по питанию
recliener ; Кресло с откидной спинкой
handout ; раздаточный материал
handheld shower ;  Ручной душ
через день ; every other day
woozy ; дурно
unsteadiness ; неустойчивость
wooziness ; говокружение
allignment ; расположение
tension ; напряжение
i jerked during an accident  ; дёргаться
strain in the back ; растяжение мышц спины
strained a muscle ; растянул мышцу
a strain ; растяжение
arm crank ; вращение педалей руками
to do steps (machine) ; делать лестничные шаги
arms to the side ; руки в стороны
dumbbells ; гантели

the rows (exercise) ; тяга в наклоне
low trap lift off ; Подъем рук для нижней порции трапеции
keep your neck tucked in ; Сохраняйте нейтральное положение шеи
pecks ; грудные мышци
scapular retraction ; Сведение лопаток/ Приведение лопаток к позвоночнику
strengtheing exercises ; силовые/укрепляющие упражнения
standing exercises ; упражнения в положение стоя


------------------


==================
TOPIC:SKIN
==================
gout ; подагра
advanced form of scabious ; запущенная форма чесотки
callus. corn ; сухая мазоль
blister ; волдырь
skin manifestation ; кожные проявления
lupus ; волчанка
yellowing of the skin ; пожелтение кожи

---------------------



==================
TOPIC:LUNGS
==================
bag suctioning ; аспирация мешком
windpipe ; трахея
voice box
voice cords
СИПАП
musuc in the lungs ; слизь в лёгких
a port ; порт-система
breath fast ; 
breath normal ; 
breath out with force
gag reflex ; рвтоный рефлекс
to plug th enose ; закрыть нос
airsacks ; альвеолы



Windowsill ; подоконник
heavy sweating ; сильное потоотделение
changes in thinking ; изменения в мышление
we are going to retry the design of these braces ; мы переделаем дизайн этих фиксаторов
не рассчитывать ; dont rely on that
not too alarming ; не вызывающий особых опасений
do it trigger ; это провоцирует
choke on the pill ; поперхнуться таблеткой
sores ; болячки
preassure sores ; пролежни
physical exam ; медицинский осмотр
runny nose ; насморк
vaginal ring ; вагинальное кольцо
cholesteatoma ; холестетома


==================
TOPIC:NEUR
==================
закатывать глаза ; the eyes roll
epileptic seizures ; эпилептическая судорога
замирание ; freezing



a mouse piece ; носатка для рта
sigh / yawn ; зевок, вдох
forceful breathing test
intolerance ; непереносимость
a scope ; зонд
hairnet ; медицинская шапочка
bowel prep ; подготовка кишечника к процедуре
new onset ; впервые возникшее заболевание
межреберная невралгия ; intercostal neuralgia
chuck ; пилёнки

==============
TOPIC:EAR
=========
to scratch out ; выскаблить
пинцет ; tweezers
it is not budging ; не поддаётся, стойкий
напор ; pressure, force
stubborn ; упорный, резистентный
slowly chopping away ; постепенно разрушается
a nugget in the ear ; серная пробка в ушах
to strain an ear canal ; выпрямить слуховой проход
глухота ; deafness


feeding tube ; Гастростомическая трубка
narrow passage ; узкий проход
regular diet ; обычный рацион

oil glands ; сальные железы
clogged pore ; забитая/закупоренная пора
to triage ; провести доврачебный осмотр
заикаться ; to stutter
заговариваться ; to have a slurred speach
говорить невнятно ; Inarticulate speech




infraumbilical hernia ; подпупковая грыжа
groin hernia ; паховая грыжа
herneated disc ; межпозвоночная грыжа
intervertebral disc ; межпозвоночный диск



to look out for ; образать внимание на
to poke and take blood ; Сделать прокол для забора крови
to get baptzied ; Пройти обряд крещения
a clay piece ; глинянное изделие
hand/foot/finger ; отпечаток ...
питание ; nutriotion
tight sock ; тугой носок
crackles in the lungs ; хрипы в легких
an urgency to ... (vomit/pee/etc) ; позывы
плавающая грыжа ; sliding hernia



strep throat ; стрептококовая ангина
pharynx ; глотка
pharyngitis ; восплаение горла
tonsilitis ; воспаление миндалин (гланд)
tonsillectomy ; удаление гланд (миндалин)
a tube of blood ; пробирка с кровью
a poke ; покалывание
to puncture ; прокалывать

to rub a muslce ; массировать, расстирать мышцу
i will rub your muslce ; я потру/помассирую мышцу
to mvoe a knee cap
quad stretch ; растяжка четырёхглавой мышцу


a testicle ; яичко
a testiclar torsion ; перекрут яичка
a twisted testicle ; перекрученное яичко
to unwtist the testicle ; раскрутить яичко
scrotum ; мошонка
spermatic cord ; семенной канатик

a cast ; гипс
to retract the shoulders ; свести лопатки
to protract the shoulders ; развести лопатки
bowel rest ; голодная диета

hemorrhage cyst ; геморрагическая киста
Congenital anomaly ; врождённый порок

surgery won't be helpful ; оперция не булет эффективной
it could be caused by ; может быть вызвано
cold ; простуда
pain in the stomach ; боль в жулудке
take a look ; посмотрю
readings ; показатели
place a stent ; установить стент



recliner ; откидное кресло
to dillute ; разбавлять
back to the drawing board ; начать всё с чистого листа


reacreational use of alchogol?

reactive airway disease
экзема,дерматит
runny nose ; насморк
upset stomach ; расстройство желудка
do we interpret patient with son talk?
пиявки для лечения ; medicinal leeches (leech therapy)
bug bites ; укусы насекомых
вены выступают ; Veins are bulging
sinusitis ; воспаление придаточных пазух носа
Everything came at once ; всё сразу навалились
stretch ; растяжение, растягивать
strain ; напрягать, напряжение
to crush (food) ; размельчу
ER, ED, emergency department ;  отделение неотложной мед помощи при больнице
URGENT CARE ; отдел быстрой мед помощи

well tolearted ; очень хорошо переносится
testostoren deprevation therapy ; гормональная терапия с подавлением тестостерона

bone thinning ; утоньщение костей
bone mineral dnsity test ; анализ плотности костей
clear liquids ; прозрачные жидкости
low grade fever ; слабая лихорадка
flushing in the cheeks ; покраснение на щеках
runny nose ; насморк
crack ; трещина
воздействие ; exposure
involanturaly ; непроизвольно
infusion room ; инфузионная палата
blood count ; количество клеток крови
short stay infusion
recurrent infections ; повторные инфекции
transfusion-dependnet ; зависимый от переливаний
bone marrow ; костный мозг
MDS ; миелодиспластический синдром
uncertain significance ; неопределённого значения
a mesh ; сетка
urinary symptoms ; симптомы мочевыводящих путей
octopic pregnancy ; внематочная беременность
day care ; дневной центр по уходу для детей и пожилых



выступ (шишка) ; a ridge
a fold, a groove, a furrow ; борозда, изгиб внутрь, впадина, углубление
neurons misfire ; неёроны разряжаются аномально, нейроны ведут аномальную активность

spine ; позвоночник
spinal cord ; спинной мозг
spine collapses ; Позвоночник со временем проседает
spine curvature ; изгиб позвоночника

inward curve ; внутренний изгиб
outward curve ; наружный изгиб

cervical ; шейный отдел (7)
thoratic ; грудной отдел (12)
lumbar ; пояничный отдел (5)
sacral ; крестцовый отдел (5)
coccygeal ; копчиковый отдел (3-5)

tailbone ; копчик
apex of the curve ; верхушка дуги / искривления

excess, surplus ; избыток
to feel under the weather ; можете чувствовать недомогание, можем ухудшиться самочувствие
purewick ; система (трубка) для сбора мочи
sleeves ; рукавав

internal dissolvanble sutures ; Саморассасывающиеся внутренние швы
atrial lead ; Предсердный электрод
to drain battery life ; Истощать аккумулятор
under the direction of ; Под руководством
upper chamber of the heart ; Верхняя камера сердца
Walk with a stoop ; ходить сгорбленной
Bent-over gait ; сгорбленная походка

to esttimate dmg ; Оценить повреждение
advanced scaring ; Выраженный фиброз
commonly seen ; Часто наблюдаемый, часто встречается
fatty liver disease ; Жировая дистрофия печени
Метаболическая дисфункция-ассоциированная жировая болезнь печени (МАЖБП) ; metabolic dysfunction associated  fatty liver disease
unsteadiness ; неустойчивость
smoke detector ; датчик дыма
to feel down, depressed, or hopeless ; чувстовать себя подавленно, депрессивно, или безнадёжно
alchogol withdraws ; Синдром отмены алкоголя

residency ; ординатура
wellness visit ; профилактический осмотр
machinery, ; оборудование
ringiing or buzzing in the ear ; звок или шум в ушах
пробка ; cork, plug
exporsure ; были подвержены/ воздеёствие
hearing test ; проверка слуха
spread the gel ; размазать гель
Heart failure,Cardiac insufficiency ; сердечная недостаточность
walk-in shower ; душевая кабина без поддона
home health ; медицинский уход на дому

tourniquet ; жгут


splint ;  шина
sling ;  поддерживающая повязка
cast ;  гипс
dislocation and loosening ; вывих и расшатывания, ослабления
stiffness ; скованность
muslce skeletal function ; Функция опорно-двигательного аппарата
phalanx, phalange, finger bone ; фаланга
подвернуть палец ; to sprain/twist a finger 


walls of colon ; стенки толстой кишки
кал, фекалии ; feces,poop 
murkey ; мутный,мутная жидкость,помутнение
perforation ; перфорация,прободение,перфоративное отверстие
=small tear ; небольшой разрыв,маленький разрыв,микротравма

lipoma, fatty tumor ; жировая опухоль,жировик
tubing device ; трубчатое устройство


прокалывающие иглы, ланцеты ; lancets
glucose test strips ; тест-полоски для глюкозы
to make bowel contract ; вызвать сокращение кишечника
bowel ; кишечник
body aches ; ломота
IHSS ; Программа оказания услуг по уходу на дому
distended belly ; вздутый живот
придти в себя ; to come to my senses
precautions for home ; меры предосторожности в домашних условиях


breakdown of products from the msucles
• распад продуктов из мышц
• мышечный катаболизм

mushy food ; мягкая еда
Ck lab ; анализ креатинкиназы
to advance the diet ; расширить рацион
осложнения ; complexions
rinse ; полоскать
screw ; винтик
to tigthen ; затянуть

selective ; выборочный
selective serotonin uptake inhibitor ; выборочный ингибитор обратного захвата серотонина (СИОЗС)
intake screening ; первичный осмотр
chest wall ; стенка грудной клетки
